Rk,Team,url_payroll,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,abbreviation
1,Phoenix Suns,https://www.basketball-reference.com/contracts/PHO.html,214565821,221319321,152101890,102634883,3107143,0,PHO
2,Minnesota Timberwolves,https://www.basketball-reference.com/contracts/MIN.html,202492182,190140062,136756790,132657491,86055603,0,MIN
3,Boston Celtics,https://www.basketball-reference.com/contracts/BOS.html,197069191,226047874,207690827,219119031,180020154,71446914,BOS
4,Milwaukee Bucks,https://www.basketball-reference.com/contracts/MIL.html,193097305,181706942,127258933,70767071,0,0,MIL
5,Los Angeles Lakers,https://www.basketball-reference.com/contracts/LAL.html,187278324,189239092,86079494,22225569,0,0,LAL
6,New York Knicks,https://www.basketball-reference.com/contracts/NYK.html,185972960,194354847,167478483,177217150,91692629,0,NYK
7,Miami Heat,https://www.basketball-reference.com/contracts/MIA.html,182704768,191512799,94604032,59746788,56507892,0,MIA
8,Denver Nuggets,https://www.basketball-reference.com/contracts/DEN.html,182574315,199480856,202401057,164208943,94623207,0,DEN
9,Philadelphia 76ers,https://www.basketball-reference.com/contracts/PHI.html,181511437,186680351,170971629,181436176,113657512,0,PHI
10,Golden State Warriors,https://www.basketball-reference.com/contracts/GSW.html,176801591,151867302,160338109,23523485,0,0,GSW
11,Cleveland Cavaliers,https://www.basketball-reference.com/contracts/CLE.html,173375477,191976005,196567243,179433216,80420570,51033510,CLE
12,New Orleans Pelicans,https://www.basketball-reference.com/contracts/NOP.html,172651128,157112547,137289565,111102263,31000000,0,NOP
13,Indiana Pacers,https://www.basketball-reference.com/contracts/IND.html,170687486,167548889,170205890,155907787,67472848,0,IND
14,Dallas Mavericks,https://www.basketball-reference.com/contracts/DAL.html,170348618,180478156,114338538,79852681,0,0,DAL
15,Brooklyn Nets,https://www.basketball-reference.com/contracts/BRK.html,170136737,59349882,58834878,20943184,0,0,BRK
16,Atlanta Hawks,https://www.basketball-reference.com/contracts/ATL.html,169529070,168810401,165672486,67319722,30000000,30000000,ATL
17,Memphis Grizzlies,https://www.basketball-reference.com/contracts/MEM.html,169013097,162608141,119396044,103402672,44886930,0,MEM
18,Portland Trail Blazers,https://www.basketball-reference.com/contracts/POR.html,167086613,170831585,76426582,58107120,268032,0,POR
19,Los Angeles Clippers,https://www.basketball-reference.com/contracts/LAC.html,166740115,172665644,108599480,39485315,0,0,LAC
20,Chicago Bulls,https://www.basketball-reference.com/contracts/CHI.html,165919354,124846334,35550136,25584283,18000000,0,CHI
21,Charlotte Hornets,https://www.basketball-reference.com/contracts/CHO.html,164299141,146373104,123199346,54027913,46394040,0,CHO
22,Toronto Raptors,https://www.basketball-reference.com/contracts/TOR.html,160911612,150735228,138906614,83217802,80440570,51033510,TOR
23,Oklahoma City Thunder,https://www.basketball-reference.com/contracts/OKC.html,160835775,156680645,130081160,31996517,7990655,0,OKC
24,Houston Rockets,https://www.basketball-reference.com/contracts/HOU.html,160287067,188050805,128460728,87381075,39036697,0,HOU
25,San Antonio Spurs,https://www.basketball-reference.com/contracts/SAS.html,158946843,145818612,74384166,37322313,27000000,0,SAS
26,Washington Wizards,https://www.basketball-reference.com/contracts/WAS.html,158918410,137536128,113511391,41355420,13050000,0,WAS
27,Sacramento Kings,https://www.basketball-reference.com/contracts/SAC.html,157103763,155816033,149233700,78861348,0,0,SAC
28,Utah Jazz,https://www.basketball-reference.com/contracts/UTA.html,154072460,146374390,89926064,72297734,53536209,0,UTA
29,Orlando Magic,https://www.basketball-reference.com/contracts/ORL.html,150359238,199367531,170522341,114636256,110738890,77733510,ORL
30,Detroit Pistons,https://www.basketball-reference.com/contracts/DET.html,125143660,132042555,84437469,73825808,47940570,51033510,DET
